data,id_point,class,colour,cond_microscm,oxig_mgl,ph,temp_wa_c,temp_air_c,co_total_mgl,dbo _mgl,fósf_total_mgl,nitro_kje_mgl,nitro_amo_mgl,sdiss_total_mgl,solido_total_mgl,turb,clor_a_microgl,Caracteristicas,Complemento,Type
4/14/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,187,5.46,7.22,27.41,28,12.2,11,0.27,,<0.1,124,160,70.1,118.5,,,
5/31/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,203,3.82,7,20.11,19.7,5.24,10,0.16,,1.73,130,144,9,27.92,,,
6/15/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,203,8.33,7.19,19.99,20.2,5.01,11,0.37,,1.79,112,114,4.95,105.14,,,
6/7/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,201,1.97,6.57,18.42,21.9,5.3,6,0.19,,0.64,110,118,7.39,22.72,,,
10/8/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,200,5.13,6.82,17.83,17,6.58,4,0.19,,0.47,<100,<100,15,64.82,,,
10/27/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,212,4.08,6.93,22,22,10.2,13,0.28,,1.93,<100,134,21.6,83.4,,,
11/17/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,212,5.79,7.53,23.54,25.5,22,8,0.5,,1.04,138,170,93.1,264.63,,,
7/12/2016,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,217.2,16.98,9.58,27.18,26.1,30.8,16,0.5,,0.93,120,172,85.7,340.36,,,
12/1/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,196,9.27,8.81,26.33,23.9,9.59,11,0.31,,<0.1,126,180,123,292.25,,,
2/23/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,212,5.69,7.69,27.48,24,9.52,15,0.32,,0.65,132,174,59.1,265.52,,,
3/22/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,191,5.6,6.86,25.11,27.1,5.68,11,0.22,,<0.1,108,122,25.5,72.17,,,
11/4/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,189,14.49,9.6,26.45,25.8,7.44,12,0.25,,<0.1,112,144,3.03,195.13,,,
10/5/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,199,6.8,7.35,22.04,22.1,6.07,9,0.21,,<0.1,126,134,26.3,112.27,,,
5/7/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,197,6.02,7.1,18.75,17.6,5.3,9,0.22,,<0.1,132,152,8.35,77.52,,,
9/8/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,196,7.14,7.19,17.96,24.5,5.65,4,0.19,,<0.1,148,154,8.29,38.27,,,
9/28/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,201,5.53,7.36,23.06,22.3,7.74,10,0.37,,0.55,136,162,50.5,171.96,,,
10/18/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,197,3.54,7.18,23.2,22.4,9.02,9,0.36,,<0.1,116,138,48,175.93,,,
11/16/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,202,6.85,7.54,23.8,27.8,6.33,17,0.29,,0.49,136,158,45,170.18,,,
12/14/2017,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,196,7.23,7.8,24.9,24,7.85,20,0.33,,<0.1,124,148,44,233.09,,,
11/1/2018,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,194,11.13,8.94,26,26,8.24,38,0.44,,<0.1,116,156,111,368.87,,,
3/21/2018,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,215,3.82,7.34,26.7,24,9.79,8,0.41,,0.93,134,154,34,,,,
5/22/2018,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,203,6.88,7.4,22.4,21.7,4.99,14,0.21,,0.65,114,116,6.5,47.22,,,
7/26/2018,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,207,6.12,7.01,19,18,6,4,0.22,,<0.1,132,142,10,53.46,,,
11/28/2018,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,218,6.92,7.57,22.9,21,7.78,5,0.37,,0.74,148,154,18,130.6,,,
1/22/2019,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,209,12.58,9.69,29,,8.24,11,0.51,,<0.1,134,212,99.9,574.7,,,
3/26/2019,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,164,,6.88,25.8,,6.77,3,0.1,,<0.1,<100,<100,9.33,,,,
5/22/2019,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,179,2.83,6.66,22.6,22.8,7.2,3,0.22,1.6,0.64,110,122,8.17,49.76,,,
7/24/2019,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,185,6.65,6.97,19.9,29.2,7.25,5,0.04,2.3,0.62,122,128,16.5,63.39,,,
2/10/2019,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,181,10.36,8.84,21.3,25.8,12.8,9,0.72,6.82,0.49,118,196,109,,,,
4/12/2019,1386 - 0 1 SP 06 100 BILL 02 03,BILL02030,Verde,186,6.19,7.3,23.2,21.6,8.73,6.46,0.24,2.82,<0.1,164,174,36,168.93,,,
3/1/2013,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,173,8.1,9.24,25.33,19.5,7.09,5,0.079,2.14,0.15,106,112,22.4,171.96,,,
3/14/2013,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,181,6.68,8.37,25.57,20,4.35,8,0.13,2.56,0.12,136,146,11.7,,,,
5/15/2013,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,173,9.13,8.52,22.05,27.05,5.14,5,0.08,1.07,0.1,106,118,7.13,133.65,,,
7/25/2013,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,176,7.65,7.69,17.76,9.8,5.95,5,0.07,0.96,0.1,<100,104,5.18,80.86,,,
9/25/2013,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,179,8.53,8.64,19.61,15.8,6.19,8,0.11,1.4,0.13,148,150,6.4,,,,
11/21/2013,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,196,13.05,9.45,25.12,26,8.3,6,0.1,1.21,0.32,136,140,1.58,65.22,,,
9/1/2014,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,189,12.09,9.71,27.93,30,15.1,7,0.15,1.32,<0.1,124,146,38.9,156.82,,,
3/26/2014,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,174,6.62,7.93,24.47,21.7,8.74,5,0.09,0.97,0.19,122,136,30.1,,,,
5/15/2014,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,167,8.62,8.2,28.57,23,6.9,6,0.05,1.16,0.22,158,160,10.7,70.57,,,
7/31/2014,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,164,8.96,7.99,17.96,16,4.36,4,0.04,0.89,0.15,106,118,8.44,47.58,,,
9/25/2014,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,193,10.03,8.56,20.24,22.5,9.8,4,0.12,2.31,0.18,130,106,18,,,,
11/13/2014,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,189,5.28,7.54,24.16,26.5,5.81,4,0.12,1.83,0.72,124,128,7.27,13.21,,,
1/14/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,183,13.73,9.96,28.96,31.8,7.83,33,0.16,0.55,0.13,108,170,59.8,416.99,,,
12/3/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,208,6.02,7.68,26.7,25.8,5.7,5,0.13,1.23,0.42,136,138,6.43,,,,
4/23/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,183,7.29,7.75,23.49,22,5.6,3,0.04,0.82,<0.1,<100,110,5.11,46.44,,,
5/21/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,183,9.43,9.02,21.53,20.8,5.05,<3,0.12,0.8,<0.1,130,148,4,30.39,,,
2/6/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,194,6.56,7.54,19.95,19,4.59,3,0.1,1.25,<0.1,130,134,5.12,20.2,,,
2/7/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,198,7.95,7.87,18.93,20,5.44,4,0.08,1.23,0.16,130,154,8.55,34.41,,,
12/8/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,172,11.24,9.77,22.2,25,5.17,<3,0.03,1.33,<0.1,<100,<100,12.2,50.79,,,
9/9/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,201,6.52,7.65,19.3,19,6.31,<3,0.08,1.05,0.13,148,152,18.6,49.01,,,
10/22/2015,139 - 0 1 SP 06 635 BILL 02 500,BILL02500,Verde,194,8.65,7.89,22.86,21,5.42,9,0.17,1.18,0.31,128,140,38.8,143.01,,,
